,2,3,4,5,6,7,8,9
0,4493932.841868856,4522838.13148108,4209449.234639399,4377563.022916312,4704454.767721383,4849643.839151257,5022279.064228533,5320707.961357184
1,4461327.076537501,4493613.411427191,4253654.211807838,4387847.924096572,4481189.742472337,4842538.991512196,4981798.3288447,5099199.860591072
2,4466093.792787447,4173063.3671149993,4271805.05904085,4317372.337455627,4502399.278899586,4741144.723665653,4900790.174173447,5155169.270817224
3,4477860.381717692,4528479.700372923,4256829.357778852,4406787.159850961,4476874.136069051,4885110.467637136,5113296.723882194,5307153.70272056
4,4496465.991280494,4526477.411795525,4313875.25854131,4323434.652679455,4492383.231029495,4750548.396314713,5078187.708017075,5054447.831822291
