,2,3,4,5,6,7,8,9
0,2634156.1025351305,2341921.369001628,2272070.162178551,2319444.981396802,2352319.8360099825,2282825.433096573,2367140.1545761563,2481697.117405723
1,2738126.225689113,2433135.0434831856,2296903.98740707,2401834.14305066,2370619.3223081576,2284044.8191135232,2399487.2078359774,2355903.7713343934
2,2242837.176428294,2368191.5958515294,2402021.334446698,2158115.125789384,2444187.036488138,2457013.921568375,2359739.000616044,2454062.968102445
3,2654257.494221648,2245910.5692647677,2408497.2191984784,2255574.581674315,2343479.3470793394,2243983.2580848187,2329422.0099315085,2398469.9931154572
4,2774205.813743644,2517921.2738277214,2318385.911795898,2271828.4371980154,2285795.9812080297,2244238.4952953765,2417498.520592237,2492975.1512721535
