,2,3,4,5,6,7,8,9
0,-771155.5467428853,-773921.6529041263,-829660.2092548644,-832202.7247527165,-648942.3659578182,-820167.7621913004,-832739.0805849435,-825589.6856930074
1,-770012.3070980163,-823802.8464577806,-823839.7848989924,-781899.5408145168,-826687.7379242665,-832838.6239398177,-874172.2059312742,-825482.8278744007
2,-775550.8702950432,-824506.1720590207,-824012.2453461583,-823910.1909445876,-830394.7981857846,-823565.8065089205,-829568.6016345462,-827185.0180361778
3,-775019.4045477145,-777442.6866128958,-823054.7123959499,-823725.5844861029,-827897.9638608164,-828131.9900097066,-821844.9740904653,-877948.5604384765
4,-782261.9130075189,-831091.5140085147,-837806.9595637153,-839675.0631536403,-836240.5284614234,-845321.2783807364,-883423.5935340675,-838860.6436290056
