,2,3,4,5,6,7,8,9
0,3199616.6927460837,3157071.717254686,3011116.648171708,3144055.772208844,3145410.4497601297,3099592.921047155,3258746.6189235514,3174638.86441672
1,3299044.5018743556,3165346.010767329,3260942.2016913947,3009132.2888020365,3214294.2281478373,3287193.6953117363,3278824.6286853063,3557179.407406007
2,3282691.4396122876,3152497.2909410484,3177674.169742468,3035450.0414237925,2950293.4625201775,3305850.6609131396,3332637.5633741096,3540461.0227663605
3,3213788.9510716,3126774.1791782337,3270460.4182122704,3299153.161818432,3224050.4936791444,3273479.5248144493,3234530.592730377,3501542.686769728
4,3483915.775018965,3037214.530497662,3073913.203813444,3230343.930373389,3298955.290543653,3336094.942982738,3423676.945952557,3454463.8310674853
