,2,3,4,5,6,7,8,9
0,692.9387160402315,537.8408472117046,439.46367773590254,364.4376089783029,374.4132222761545,341.46074874743283,345.5145657719138,318.3878042189947
1,659.2455343033226,507.71028097656153,423.69004450453417,369.4235520858549,335.0454442643005,333.6968802604528,273.6875000365472,326.6264322108357
2,679.1804868681895,528.4090570589094,416.045641045954,366.25340736358004,349.8041899398268,372.2533309192447,335.31219619318057,310.17170829791456
3,676.243758368006,533.3735694115937,436.29421122672545,392.28699849745766,379.95451581950175,329.6018245934165,327.0183674475235,307.863849975531
4,650.1475615472212,489.8607139158808,403.43598809520876,426.7978471800219,371.7671965946176,320.42398249962326,300.8391070515059,337.53617841187685
