,2,3,4,5,6,7,8,9
0,-1106319.0337451242,-1107689.959705227,-1110048.0426769832,-1112191.4943547435,-1163825.390567552,-869901.0462560856,-1167557.293224254,-1208507.9729430163
1,-1096589.8887347814,-1099595.9219418727,-1110946.7324413413,-1154613.2582561304,-1166243.9465785446,-1167369.2659567883,-1199540.064603924,-1162805.8763109099
2,-1109188.6902497665,-1158318.7934288443,-1170689.6759913715,-1166432.9416722471,-1168330.6641934158,-1168804.7214251957,-1166525.5237579164,-1162837.1837485484
3,-1101873.035816748,-1162191.8201115103,-1106977.4910791114,-1159595.493624304,-1106240.1808291057,-1168488.4986042073,-1167621.6074534995,-855456.361749271
4,-1102032.6197504313,-1163102.7417652518,-1162567.8044001372,-1161017.9321475965,-1168623.4411228292,-1159392.0121951993,-1157672.1966767379,-1161088.1250531373
