,2,3,4,5,6,7,8,9
0,-334796.57035362045,-339049.85492661747,-339203.3450647247,-373067.1500512475,-340938.8838972012,-372272.3717600043,-373421.169657912,-339668.7465354275
1,-332839.4347999452,-335535.33951265924,-336626.66305551503,-336829.82907990675,-338258.09407052555,-337834.1605269023,-336517.15707502293,-337552.91993041645
2,-336473.86746575526,-337098.3047481733,-342212.65239341604,-341807.494922182,-341766.08224464423,-341504.2553554097,-375332.2699547331,-374746.4219478031
3,-332240.8054151439,-336203.8357853546,-336925.3378048083,-336740.6637168937,-336506.27910068474,-337281.71864786587,-336774.2201674786,-337841.3293251031
4,-335309.84018220747,-339283.19740225136,-339703.39621036896,-339206.2594410962,-341367.5847303619,-341370.1730775918,-340711.3392480944,-374773.5685707228
